accuracy,loss,val_accuracy,val_loss
0.966780960559845,0.11623694747686386,0.9933311343193054,0.03887348994612694
0.9870696067810059,0.04475143924355507,0.9953317642211914,0.02533811889588833
0.990570068359375,0.03295142948627472,0.994331419467926,0.021606460213661194
0.9919988512992859,0.028174500912427902,0.9949983358383179,0.01909913867712021
0.991641640663147,0.02649555541574955,0.9949983358383179,0.017587102949619293
0.9927846789360046,0.025121228769421577,0.9953317642211914,0.016135292127728462
0.9931418895721436,0.02281380072236061,0.9949983358383179,0.015212384052574635
0.9938562512397766,0.02153497003018856,0.9956651926040649,0.01482546329498291
0.9925703406333923,0.021215403452515602,0.9956651926040649,0.014627249911427498
0.9919988512992859,0.02268367074429989,0.9963321089744568,0.014539098367094994
0.9630661606788635,0.1032828614115715,0.9916638731956482,0.03315095975995064
0.9853550791740417,0.04452868551015854,0.9946649074554443,0.02209029532968998
0.9879983067512512,0.03259847313165665,0.9959986805915833,0.016782142221927643
0.991927444934845,0.02528844028711319,0.9963321089744568,0.01442431565374136
0.9929990172386169,0.022357197478413582,0.9973324537277222,0.012444543652236462
0.9929275512695312,0.020776066929101944,0.9973324537277222,0.010582033544778824
0.9943563342094421,0.016759127378463745,0.9976658821105957,0.009307934902608395
0.9943563342094421,0.016088690608739853,0.9976658821105957,0.008420657366514206
0.9956422448158264,0.01367024052888155,0.9979993104934692,0.007596888113766909
0.9962852001190186,0.010718866251409054,0.9979993104934692,0.007252954412251711
