epoch,accuracy,loss,val_accuracy,val_loss
0,0.996812105178833,0.025998707860708237,0.9980000257492065,0.031501609832048416
1,0.9978122115135193,0.01969490572810173,0.9980000257492065,0.0368378572165966
2,0.9971871376037598,0.02322632633149624,0.9980000257492065,0.03550218418240547
3,0.9974997043609619,0.021332252770662308,0.9984999895095825,0.028309525921940804
4,0.9982497692108154,0.010880351066589355,0.9980000257492065,0.02868390828371048
5,0.9977497458457947,0.010774447582662106,0.9990000128746033,0.022477561607956886
6,0.9984372854232788,0.006791646592319012,0.9990000128746033,0.01879842020571232
7,0.9985623359680176,0.010737149976193905,0.9990000128746033,0.02345893532037735
8,0.9982497692108154,0.012414342723786831,0.9975000023841858,0.0291582103818655
9,0.9986873269081116,0.006325365509837866,0.9990000128746033,0.022942032665014267
